lr-Adam,lr-Adam-1,step,aeloss_step,train/total_loss,train/logvar,train/kl_loss,train/nll_loss,train/rec_loss,train/d_weight,train/disc_factor,train/g_loss,discloss_step,train/disc_loss,train/logits_real,train/logits_fake,epoch,val/rec_loss,val/total_loss,val/logvar,val/kl_loss,val/nll_loss,val/d_weight,val/disc_factor,val/g_loss,val/disc_loss,val/logits_real,val/logits_fake,valid_mse_epoch,valid_mae_epoch,aeloss_epoch,discloss_epoch
5e-06,5e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,229.5935516357422,7346.99365234375,0.0,481.16363525390625,7346.9931640625,0.4484248757362366,5000.0,0.0,1.131760835647583,0.0,0.0,-0.985753059387207,-1.131760835647583,0,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,0,0.444935142993927,7289.81787109375,0.0,479.4656982421875,7289.8173828125,0.0,0.0,0.17907311022281647,0.0,-0.17308013141155243,-0.17907311022281647,0.351732075214386,0.444935142993927,,
,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,229.5935516357422,0.0
5e-06,5e-06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,229.597900390625,7347.1328125,0.0,477.8925476074219,7347.13232421875,0.44843336939811707,5000.0,0.0,1.1451640129089355,0.0,0.0,-0.9935182929039001,-1.1451640129089355,1,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,1,0.4459080398082733,7305.7578125,0.0,479.4656982421875,7305.75732421875,0.0,0.0,0.28520458936691284,0.0,-0.27870529890060425,-0.28520458936691284,0.35364431142807007,0.4459080398082733,,
,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,229.597900390625,0.0
5e-06,5e-06,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,229.75003051757812,7352.0009765625,0.0,480.0039978027344,7352.00048828125,0.4487304985523224,5000.0,0.0,1.1457524299621582,0.0,0.0,-0.9825937151908875,-1.1457524299621582,2,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,2,0.4433078169822693,7263.15576171875,0.0,479.4656982421875,7263.1552734375,0.0,0.0,0.3696293532848358,0.0,-0.3645388185977936,-0.3696293532848358,0.35250362753868103,0.4433078169822693,,
,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,229.75003051757812,0.0
